judul,kategori
"Presiden Jokowi resmikan proyek pembangunan Pelabuhan Patimban",Politik
"Komisi II DPR bahas penggunaan dana desa untuk infrastruktur",Politik
"DPR sahkan UU Kesehatan, kontroversi soal RUU Omnibus Kesehatan",Politik
"Pemerintah tetapkan kenaikan dana BOS (Bantuan Operasional Sekolah) 10%",Politik
"Menteri Pendidikan Nadiem Makarim luncurkan program Merdeka Belajar jilid 20",Politik
"Kasus korupsi proyek kereta cepat Jakarta-Bandung, 3 kontraktor ditahan",Politik
"Partai NasDem resmi keluar dari koalisi pendukung Anies Baswedan",Politik
"Jokowi bertemu Megawati, sinyal dukungan PDIP di Pilpres",Politik
"Keputusan Presiden soal pengangkatan 5.000 dosen honorer menjadi PPPK",Politik
"Mahkamah Agung batalkan Perda tentang larangan merokok di tempat umum",Politik
"Menteri Dalam Negeri keluarkan aturan baru soal penggunaan dana COVID-19",Politik
"Wakil Presiden Ma'ruf Amin dorong pemerataan pembangunan di Indonesia Timur",Politik
"DKPP berhentikan anggota Bawaslu karena terlibat kampanye",Politik
"Luncurkan satelit komunikasi baru orbit rendah untuk internet pedesaan",Teknologi
"Apple Watch Series 11 hadir dengan fitur EKG dan deteksi atrial fibrillation",Teknologi
"Google luncurkan AI untuk membuat musik secara otomatis",Teknologi
"Startup ride-hailing Gojek raih pendanaan $1 miliar, fokus ekspansi Asia Tenggara",Teknologi
"Kasus kebocoran data Indihome: 30 juta data pelanggan bocor di forum hacker",Teknologi
"Samsung Galaxy S25 hadir dengan chip Exynos 2500, performa lebih baik",Teknologi
"Microsoft rilis Surface Pro 10 dengan layar OLED",Teknologi
"Ancaman AI dalam penciptaan deepfake video jelang Pilkada",Teknologi
"Dampak AI terhadap sektor kesehatan: diagnosis penyakit lebih cepat",Teknologi
"Mobil listrik Hyundai Ioniq 6 laris manis di pasar Eropa",Teknologi
"Kominfo luncurkan program pelatihan coding untuk siswa SMA",Teknologi
"Meta Platforms kembangkan kacamata pintar yang bisa menerjemahkan bahasa",Teknologi
"Startup e-commerce Blibli raih pendanaan $500 juta, fokus quick commerce",Teknologi
"E-sport Mobile Legends adakan turnamen internasional di Arab Saudi",Teknologi
"Kasus penipuan online melalui media sosial Instagram meningkat",Teknologi
"Sony rilis PlayStation VR2, headset VR untuk PS5",Teknologi
"Pemerintah luncurkan program beasiswa talenta digital luar negeri",Teknologi
"Xiaomi rilis smartphone 15 Pro dengan kamera periskop",Teknologi
"XL Axiata uji coba teknologi 5G di wilayah Sumatera",Teknologi
"Penelitian: AI mampu memprediksi cuaca lebih akurat",Teknologi
"Startup Fintech Pluang capai valuasi $1 miliar (unicorn)",Teknologi
"Bitcoin Halving pengaruhi harga listrik, miner pindah negara",Teknologi
"Pengembangan kota pintar di IKN terkendala SDM IT",Teknologi
"Microsoft akuisisi perusahaan keamanan siber Darktrace",Teknologi
"Regulasi baru pemerintah tentang perlindungan data pribadi bank digital",Teknologi
"Film KKN di Desa Penari tembus 12 juta penonton, jadi film horor terlaris",Hiburan
"Konser Taylor Swift di Singapura sukses besar, ekonomi lokal untung $300 juta",Hiburan
"Aktor Raffi Ahmad dan Nagita Slavina umumkan program amal",Hiburan
"Film Mission: Impossible - Dead Reckoning Part Two tunda jadwal rilis",Hiburan
"Penyanyi Afgan rilis lagu baru, kolaborasi dengan musisi internasional",Hiburan
"Serial Netflix All of Us Are Dead season 3 umumkan pemeran baru",Hiburan
"Festival musik Screaming Fest di Bandung ricuh, banyak korban luka",Hiburan
"Komedian Cak Lontong dan Denny Cagur buka warung kopi kekinian",Hiburan
"Youtuber Deddy Corbuzier dan Sabrina Chairunnisa umumkan pernikahan",Hiburan
"Film Tilik diadaptasi menjadi serial di WeTV",Hiburan
"Ajang pencarian bakat MasterChef Indonesia junior umumkan pemenang",Hiburan
"Perdebatan cinta segitiga di sinetron Ikatan Cinta",Hiburan
"Chef Renata Moeloek buka restoran masakan Italia di Jakarta",Hiburan
"Kontes kecantikan Miss Universe 2024 digelar di Meksiko",Hiburan
"Grup K-Pop Twice merilis single baru dengan konsep retro",Hiburan
"Pameran instalasi seni The World of Tim Burton sukses digelar di Jakarta",Hiburan
"Aktor Abimana Aryasatya bintangi film biopik Jenderal Sudirman",Hiburan
"Tren podcast komedi di Indonesia semakin diminati pendengar",Hiburan
"Model dan artis Dian Sastrowardoyo dorong isu pemberdayaan wanita",Hiburan
"Album Sour Olivia Rodrigo pecahkan rekor penjualan album debut",Hiburan
"Kisah inspiratif aktor Fedi Nuril yang sukses di film religi",Hiburan
"Aktris D membintangi film Hollywood sebagai tokoh pahlawan",Hiburan
"Film Fast X raih box office $700 juta global",Hiburan
"Boyband EXO gelar konser reuni di Jakarta, EXO-L histeris",Hiburan
"Fashion show desainer Anne Avantie di Jakarta Fashion Week",Hiburan
"Arsenal juara Liga Inggris, akhiri puasa gelar 20 tahun",Olahraga
"Badminton: Mohammad Ahsan/Hendra Setiawan juara World Championships",Olahraga
"Manchester City juara Piala Dunia Antarklub",Olahraga
"Timnas Indonesia U-20 lolos ke Piala Dunia U-20 2025",Olahraga
"Valentino Rossi pensiun dari MotoGP, jadi legenda balap motor",Olahraga
"Formula 1: Red Bull Racing kuasai klasemen konstruktor",Olahraga
"NBA: Milwaukee Bucks juarai NBA setelah mengalahkan Phoenix Suns",Olahraga
"PSSI umumkan Shin Tae-yong akan fokus ke Timnas Senior",Olahraga
"Transfer pemain: Harry Kane pindah ke Bayern Munchen",Olahraga
"Indonesia Open 2024: Chico Aura Dwi Wardoyo juara tunggal putra",Olahraga
"Skandal pengaturan skor bulutangkis Indonesia terungkap",Olahraga
"Atletik: Lalu Muhammad Zohri raih medali perak Asian Games",Olahraga
"Timnas Putri Indonesia hadapi Australia di kualifikasi Olimpiade",Olahraga
"BWF World Tour Finals: Anthony Ginting kalah di babak final",Olahraga
"Erick Thohir tunjuk Sven-Goran Eriksson sebagai penasihat teknis PSSI",Olahraga
"Kompetisi e-sport Free Fire adakan turnamen dengan hadiah $2 juta",Olahraga
"Pebasket Satria Muda Pertamina juarai IBL 2023",Olahraga
"FIFA resmi menetapkan Indonesia sebagai tuan rumah Piala Dunia U-17",Olahraga
"Juara bertahan Liga Prancis Paris Saint-Germain tumbang di kandang",Olahraga
"Tenis: Naomi Osaka juarai US Open, kalahkan Serena Williams",Olahraga
"Timnas Voli Putra Indonesia raih emas di ajang AVC Cup",Olahraga
"Petarung UFC Conor McGregor comeback setelah cedera panjang",Olahraga
"Indonesia targetkan 5 medali emas di Olimpiade Paris 2024",Olahraga
"Perenang Felix Viktor Iberle pecahkan rekor renang 50 meter gaya dada",Olahraga
"Tim panahan Indonesia raih 2 medali emas di Kejuaraan Dunia",Olahraga
"Harga minyak mentah Brent naik 5% setelah konflik Israel-Hamas",Ekonomi
"BI kaji aturan baru untuk transaksi uang elektronik",Ekonomi
"Pemerintah siapkan insentif pajak untuk perusahaan startup",Ekonomi
"OJK perketat aturan modal minimal perusahaan asuransi",Ekonomi
"Produsen rokok Gudang Garam umumkan laba turun 15%",Ekonomi
"Bank Sentral Inggris (BoE) naikkan suku bunga 75 basis poin",Ekonomi
"Kementerian Perdagangan batasi impor barang mewah",Ekonomi
"Inflasi di Jakarta stabil, diklaim karena harga sewa rumah stabil",Ekonomi
"Harga properti di Bali melonjak 20%, didorong pariwisata pulih",Ekonomi
"Pemerintah targetkan surplus APBN 2024 sebesar 0.5% dari PDB",Ekonomi
"Startup e-commerce Bukalapak akuisisi perusahaan logistik",Ekonomi
"Dirjen Pajak luncurkan program e-Faktur 3.0",Ekonomi
"Saham PT Indofood CBP Sukses Makmur naik 5% pasca akuisisi",Ekonomi
"Bank BCA terbitkan obligasi berkelanjutan senilai Rp10 triliun",Ekonomi
"Kementerian Koperasi dorong UMKM masuk pasar ekspor",Ekonomi
"Pemerintah umumkan Bantuan Langsung Tunai (BLT) untuk pedagang pasar",Ekonomi
"Kemenhub batalkan rencana kenaikan tarif KRL Commuter Line",Ekonomi
"Bank Indonesia resmi kerjasama dengan Bank Sentral Korea Selatan",Ekonomi
"Harga nikel global stabil, didorong permintaan industri baja",Ekonomi
"IMF puji penanganan pandemi COVID-19 oleh Indonesia",Ekonomi
"Rencana IPO perusahaan perkebunan karet ditunda",Ekonomi
"Kenaikan suku bunga Bank Sentral Jepang picu penguatan Yen",Ekonomi
"Pemerintah alokasikan Rp20 triliun untuk pengembangan sektor energi terbarukan",Ekonomi
"Dirut PLN umumkan program listrik pintar prabayar",Ekonomi
"Kementerian BUMN lanjutkan program restrukturisasi utang",Ekonomi
"Presiden Jokowi tegaskan tidak ada politisasi bansos jelang pemilu",Politik
"KPK tangkap Kepala Daerah Lampung terkait kasus korupsi infrastruktur",Politik
"Presiden Jokowi kunjungi China, bertemu Xi Jinping bahas kerjasama investasi",Politik
"Ketua Umum PDIP Megawati Soekarnoputri umumkan calon wakil presiden",Politik
"Komisi I DPR kritisi kebijakan militer Amerika Serikat di Asia Tenggara",Politik
"Partai Gerindra resmi berkoalisi dengan PKB di Pemilu 2024",Politik
"Menteri Pendidikan Nadiem Makarim rombak sistem zonasi penerimaan siswa baru",Politik
"Polisi bongkar sindikat narkoba jenis baru, melibatkan artis terkenal",Politik
"Debat Capres keenam fokus pada isu sosial, budaya, dan agama",Politik
"Wacana judicial review UU ITE di Mahkamah Konstitusi",Politik
"MK kabulkan gugatan batas usia calon kepala daerah",Politik
"Panglima TNI tegaskan siap menghadapi potensi konflik di perbatasan",Politik
"Presiden Jokowi resmikan proyek pembangunan Bandara Internasional baru",Politik
"Komisi II DPR bahas penggunaan dana haji untuk infrastruktur",Politik
"DPR sahkan UU Nomor 3 Tahun 2022 tentang Ibu Kota Negara",Politik
"Pemerintah tetapkan kenaikan iuran BPJS Kesehatan kelas III",Politik
"Menteri Pariwisata Sandiaga Uno dorong pariwisata berbasis budaya",Politik
"Kasus korupsi proyek pembangunan jalan tol, 5 kontraktor ditahan",Politik
"Partai Keadilan Sejahtera (PKS) resmi mendukung Anies Baswedan",Politik
"Jokowi bertemu Susilo Bambang Yudhoyono (SBY), sinyal politik",Politik
"Keputusan Presiden soal pengangkatan 2.000 guru honorer menjadi PNS",Politik
"Mahkamah Agung batalkan Perda tentang larangan penjualan minuman keras",Politik
"Menteri Dalam Negeri keluarkan aturan baru soal penggunaan dana desa",Politik
"Wakil Presiden Ma'ruf Amin dorong industri halal di Indonesia",Politik
"DKPP berhentikan anggota KPU karena melanggar kode etik",Politik
"Luncurkan satelit nano buatan Indonesia untuk riset luar angkasa",Teknologi
"Apple rilis MacBook Air M3, lebih tipis dan performa lebih cepat",Teknologi
"Google luncurkan AI untuk membuat presentasi secara otomatis",Teknologi
"Startup healthtech Good Doctor raih pendanaan Seri C",Teknologi
"Kasus kebocoran data e-HAC Kemenkes: 50 juta data pengguna bocor",Teknologi
"Samsung Galaxy S26 hadir dengan chip Snapdragon 8 Gen 5",Teknologi
"Microsoft rilis Xbox Series Z, konsol game portabel",Teknologi
"Ancaman AI dalam penciptaan deepfake suara jelang Pilkada",Teknologi
"Dampak AI terhadap sektor hukum: LegalTech semakin populer",Teknologi
"Mobil listrik Tesla Cybertruck mulai dijual di Indonesia",Teknologi
"Kominfo luncurkan program pelatihan data scientist untuk umum",Teknologi
"Meta Platforms kembangkan kacamata pintar yang bisa mendeteksi emosi",Teknologi
"Startup fintech Investree raih pendanaan $100 juta dari investor China",Teknologi
"E-sport Free Fire adakan turnamen khusus wanita, FFML Ladies",Teknologi
"Kasus penipuan online melalui media sosial TikTok meningkat",Teknologi
"Sony rilis PlayStation 6, konsol game generasi terbaru",Teknologi
"Pemerintah luncurkan program beasiswa talenta digital dalam negeri",Teknologi
"Xiaomi rilis smartphone 16 Pro dengan kamera 200MP",Teknologi
"Smartfren uji coba teknologi 6G di wilayah Jawa Barat",Teknologi
"Penelitian: AI mampu memprediksi bencana alam lebih akurat",Teknologi
"Startup e-commerce Tokopedia capai valuasi $15 miliar",Teknologi
"Bitcoin Halving pengaruhi harga listrik, miner beralih ke energi terbarukan",Teknologi
"Pengembangan kota pintar di IKN terkendala jaringan internet",Teknologi
"Microsoft akuisisi perusahaan game Mojang (Minecraft)",Teknologi
"Regulasi baru pemerintah tentang perlindungan data pribadi bank konvensional",Teknologi
"Film Ayat-Ayat Cinta 3 tembus 7 juta penonton, genre religi",Hiburan
"Konser BTS di Seoul sukses besar, fans histeris dengan penampilan solo",Hiburan
"Aktor Adipati Dolken dan Canti Tachril umumkan kehamilan pertama",Hiburan
"Film The Matrix 5 rilis trailer perdana, Keanu Reeves kembali",Hiburan
"Penyanyi Rossa rilis lagu baru, kolaborasi dengan musisi Malaysia",Hiburan
"Serial Netflix Sweet Home season 3 umumkan pemeran baru",Hiburan
"Festival musik Jazz Goes to Campus (JGTC) umumkan line up lengkap",Hiburan
"Komedian Cak Lontong dan Akbar Jayadi buka warung nasi goreng",Hiburan
"Youtuber Ria Ricis dan Teuku Ryan kembali bersama, rujuk",Hiburan
"Film Dua Garis Biru diadaptasi menjadi serial di Vidio",Hiburan
"Ajang pencarian bakat Indonesian Idol junior umumkan pemenang",Hiburan
"Perdebatan cinta segiempat di sinetron Anak Jalanan",Hiburan
"Chef Juna Rorimpandey buka restoran masakan Jepang di Jakarta",Hiburan
"Kontes kecantikan Miss Grand International 2025 digelar di Thailand",Hiburan
"Grup K-Pop Twice merilis single baru dengan konsep futuristik",Hiburan
"Pameran instalasi seni The Light in the Dark sukses digelar di Surabaya",Hiburan
"Aktor Reza Rahadian bintangi film biopik Susilo Bambang Yudhoyono (SBY)",Hiburan
"Tren podcast horor di Indonesia semakin diminati pendengar",Hiburan
"Model dan artis Dian Sastrowardoyo dorong isu pemberdayaan wanita",Hiburan
"Album Folklore Taylor Swift pecahkan rekor penjualan album fisik tercepat",Hiburan
"Kisah inspiratif aktor Fedi Nuril yang sukses di film religi",Hiburan
"Aktris D membintangi film Hollywood sebagai tokoh pahlawan",Hiburan
"Film Fast X raih box office $700 juta global",Hiburan
"Boyband EXO gelar konser reuni di Jakarta, EXO-L histeris",Hiburan
"Fashion show desainer Anne Avantie di Jakarta Fashion Week",Hiburan
"Arsenal juara Liga Inggris, akhiri puasa gelar 20 tahun",Olahraga
"Badminton: Mohammad Ahsan/Hendra Setiawan juara World Championships",Olahraga
"Manchester City juara Piala Dunia Antarklub",Olahraga
"Timnas Indonesia U-20 lolos ke Piala Dunia U-20 2025",Olahraga
"Valentino Rossi pensiun dari MotoGP, jadi legenda balap motor",Olahraga
"Formula 1: Red Bull Racing kuasai klasemen konstruktor",Olahraga
"NBA: Milwaukee Bucks juarai NBA setelah mengalahkan Phoenix Suns",Olahraga
"PSSI umumkan Shin Tae-yong akan fokus ke Timnas Senior",Olahraga
"Transfer pemain: Harry Kane pindah ke Bayern Munchen",Olahraga
"Indonesia Open 2024: Chico Aura Dwi Wardoyo juara tunggal putra",Olahraga
"Skandal pengaturan skor bulutangkis Indonesia terungkap",Olahraga
"Atletik: Lalu Muhammad Zohri raih medali perak Asian Games",Olahraga
"Timnas Putri Indonesia hadapi Australia di kualifikasi Olimpiade",Olahraga
"BWF World Tour Finals: Anthony Ginting kalah di babak final",Olahraga
"Erick Thohir tunjuk Sven-Goran Eriksson sebagai penasihat teknis PSSI",Olahraga
"Kompetisi e-sport Free Fire adakan turnamen dengan hadiah $2 juta",Olahraga
"Pebasket Satria Muda Pertamina juarai IBL 2023",Olahraga
"FIFA resmi menetapkan Indonesia sebagai tuan rumah Piala Dunia U-17",Olahraga
"Juara bertahan Liga Prancis Paris Saint-Germain tumbang di kandang",Olahraga
"Tenis: Naomi Osaka juarai US Open, kalahkan Serena Williams",Olahraga
"Timnas Voli Putra Indonesia raih emas di ajang AVC Cup",Olahraga
"Petarung UFC Conor McGregor comeback setelah cedera panjang",Olahraga
"Indonesia targetkan 5 medali emas di Olimpiade Paris 2024",Olahraga
"Perenang Felix Viktor Iberle pecahkan rekor renang 50 meter gaya dada",Olahraga
"Tim panahan Indonesia raih 2 medali emas di Kejuaraan Dunia",Olahraga
"Bank Indonesia rilis uang kertas baru, pecahan Rp1.000 hingga Rp100.000",Ekonomi
"Harga properti komersial di Jakarta turun 8%, imbas pandemi",Ekonomi
"Pemerintah cabut subsidi listrik 900 VA, tuai protes masyarakat",Ekonomi
"OJK perketat aturan modal minimal perusahaan fintech P2P Lending",Ekonomi
"Kemenkeu umumkan penerimaan pajak tumbuh 15% di kuartal I 2024",Ekonomi
"Investor ritel lokal kuasai 70% transaksi di Bursa Efek Indonesia",Ekonomi
"Ekspor batubara Indonesia terancam sanksi Uni Eropa terkait isu lingkungan",Ekonomi
"Pertumbuhan industri manufaktur melambat, Purchasing Managers' Index (PMI) turun",Ekonomi
"Harga cabai merah anjlok drastis, petani di Jawa Tengah rugi besar",Ekonomi
"Pemerintah siapkan dana abadi pendidikan Rp100 triliun",Ekonomi
"Startup kesehatan Mental Health Apps raih pendanaan seed funding",Ekonomi
"Dirjen Bea Cukai sita jutaan rokok ilegal dari Batam",Ekonomi
"Saham GOTO anjlok 10% pasca lock up periode berakhir",Ekonomi
"Bank BUMN terbitkan obligasi hijau senilai $500 juta",Ekonomi
"Kementerian Koperasi dorong UMKM masuk ekosistem digital",Ekonomi
"Pemerintah umumkan Bantuan Langsung Tunai (BLT) untuk petani",Ekonomi
"Kemenhub kaji kenaikan tarif ojek online (ojol) di Jabodetabek",Ekonomi
"Bank Indonesia resmi luncurkan CBDC (Central Bank Digital Currency) Rupiah Digital",Ekonomi
"Harga nikel global melonjak, didorong permintaan baterai kendaraan listrik",Ekonomi
"IMF beri peringatan soal utang negara berkembang, Indonesia termasuk",Ekonomi
"Rencana IPO perusahaan perkebunan kelapa sawit ditunda, isu lahan",Ekonomi
"Kenaikan suku bunga The Fed pengaruhi nilai tukar mata uang Asia",Ekonomi
"Pemerintah alokasikan Rp20 triliun untuk pembangunan infrastruktur IKN",Ekonomi
"Dirut PLN tegaskan tidak ada pemadaman listrik total selama Nataru",Ekonomi
"Kementerian BUMN targetkan efisiensi biaya operasional 15% tahun ini",Ekonomi
"Jokowi umumkan Budi Gunadi Sadikin sebagai Menkes baru, Terawan di-reshuffle",Politik
"KPK geledah rumah dinas Gubernur Papua Lukas Enembe, terkait gratifikasi",Politik
"Presiden Jokowi kunjungi Rusia, bertemu Vladimir Putin bahas perdamaian Ukraina",Politik
"Koalisi Indonesia Bersatu (KIB) bubar, masing-masing partai tentukan arah sendiri",Politik
"Komisi I DPR kritisi kebijakan luar negeri Menlu Retno Marsudi",Politik
"Partai NasDem usung Anies Baswedan sebagai calon presiden 2024",Politik
"Menteri Sosial Tri Rismaharini copot 5 pejabat eselon I Kemensos",Politik
"Kapolri tegaskan tidak ada toleransi bagi anggota yang terlibat narkoba",Politik
"Debat Capres ketiga: Prabowo Subianto dinilai unggul di isu pertahanan",Politik
"Wacana penambahan kursi DPR RI kembali dibahas di Komisi II",Politik
"MK tolak gugatan batas usia capres-cawapres dari partai non-parlemen",Politik
"Panglima TNI tegaskan siap menghadapi potensi konflik di Laut China Selatan",Politik
"Presiden kunjungi pabrik mobil listrik di Karawang, dorong investasi hijau",Politik
"Komisi II DPR bahas persiapan Pilkada serentak 2024",Politik
"DPR sahkan UU Perubahan Kedua tentang Informasi dan Transaksi Elektronik (ITE)",Politik
"Pemerintah umumkan Bantuan Langsung Tunai (BLT) untuk 20 juta keluarga miskin",Politik
"Menteri Pendidikan Nadiem Makarim rombak kurikulum sekolah menengah",Politik
"Kasus korupsi proyek BTS Kominfo: Johnny G. Plate ditahan Kejaksaan Agung",Politik
"Partai Demokrat resmi keluar dari koalisi pendukung pemerintah",Politik
"Jokowi bertemu Puan Maharani, sinyal rekonsiliasi politik",Politik
"Keputusan Presiden soal status tenaga honorer ASN",Politik
"Mahkamah Agung batalkan Perda tentang pembatasan kendaraan roda dua",Politik
"Menteri Dalam Negeri Tito Karnavian lantik 10 Penjabat (Pj) Gubernur baru",Politik
"Wakil Presiden Ma'ruf Amin dorong ekonomi syariah di Indonesia",Politik
"Dewan Kehormatan Penyelenggara Pemilu (DKPP) berhentikan tiga komisioner KPU",Politik
"Perusahaan chip Nvidia capai valuasi $4 triliun, didorong booming AI",Teknologi
"Samsung Galaxy Z Fold 6 dan Flip 6 resmi rilis, desain lebih tipis",Teknologi
"OpenAI rilis DALL-E 3, AI pembuat gambar yang lebih realistis",Teknologi
"Startup Agritech Sayurbox tutup operasional di beberapa kota",Teknologi
"Kasus kebocoran data BPJS Kesehatan: 100 juta data dijual di forum hacker",Teknologi
"Apple Watch Series 10 hadir dengan sensor gula darah non-invasif",Teknologi
"Microsoft rilis Copilot, AI asisten untuk Windows dan Office",Teknologi
"Ancaman AI dalam penciptaan malware semakin nyata, pakar siber waspada",Teknologi
"Dampak AI terhadap sektor pendidikan: guru mulai gunakan AI untuk bantu mengajar",Teknologi
"Mobil listrik Wuling Binguo laris manis, kuasai pasar mobil listrik murah",Teknologi
"Kominfo luncurkan program pelatihan siber untuk ASN",Teknologi
"Meta Platforms kembangkan kacamata pintar Ray-Ban dengan AI",Teknologi
"Startup logistik SiCepat raih pendanaan Seri E, fokus ekspansi luar negeri",Teknologi
"E-sport Mobile Legends adakan turnamen khusus wanita, MPL-W",Teknologi
"Kasus phishing via WhatsApp marak, OJK minta masyarakat waspada",Teknologi
"Nvidia rilis GPU terbaru, RTX 5090, diklaim 2x lebih cepat dari seri sebelumnya",Teknologi
"Pemerintah luncurkan program 1 juta talenta digital",Teknologi
"Xiaomi rilis smartphone 14 Ultra dengan kamera Leica",Teknologi
"Telkomsel uji coba teknologi 6G di Jakarta",Teknologi
"Penelitian: AI mampu deteksi kanker 10 tahun lebih cepat dari dokter",Teknologi
"Startup Agritech (teknologi pertanian) semakin diminati investor",Teknologi
"Bitcoin Halving 2024 diprediksi memicu lonjakan harga kripto",Teknologi
"Pengembangan kota pintar di IKN terkendala pasokan chip",Teknologi
"Microsoft hentikan dukungan untuk sistem operasi Windows 10",Teknologi
"Regulasi baru pemerintah tentang perlindungan data pribadi e-commerce",Teknologi
"Film Parasite dari Korea Selatan memenangkan empat piala Oscar",Hiburan
"Konser Ed Sheeran di GBK sukses, penonton terhipnotis penampilan akustik",Hiburan
"Aktris A dituntut cerai suaminya, isu KDRT mencuat",Hiburan
"Film Avatar 2 tembus box office $2 miliar global",Hiburan
"Penyanyi Tulus rilis album baru, langsung duduki puncak tangga lagu",Hiburan
"Serial Netflix Wednesday season 2 umumkan pemeran baru",Hiburan
"Festival musik Synchronize Fest umumkan line up musisi legendaris",Hiburan
"Komedian Indro Warkop kembali ke layar lebar setelah vakum 5 tahun",Hiburan
"Youtuber Ria Ricis dan Teuku Ryan resmi bercerai, hak asuh anak diperebutkan",Hiburan
"Film Miracle in Cell No. 7 versi Indonesia raih 5 juta penonton",Hiburan
"Ajang pencarian bakat X Factor Indonesia umumkan pemenang",Hiburan
"Perdebatan ending film Dune yang dinilai menggantung",Hiburan
"Chef Juna dan Chef Renatta buka restoran mewah di Bali",Hiburan
"Kontes kecantikan Miss Grand International 2024 digelar di Vietnam",Hiburan
"Grup K-Pop NewJeans merilis single baru dengan konsep unik",Hiburan
"Pameran instalasi seni Art Jakarta dihadiri ribuan kolektor",Hiburan
"Aktor Vino G. Bastian bintangi film biopik Wiji Thukul",Hiburan
"Tren podcast horor di Indonesia semakin diminati pendengar",Hiburan
"Model dan artis Luna Maya umumkan akan menikah tahun depan",Hiburan
"Album Midnights Taylor Swift pecahkan rekor streaming Spotify",Hiburan
"Kisah inspiratif penyanyi dangdut Via Vallen dari nol hingga sukses",Hiburan
"Aktris B membantah rumor pindah agama, tegaskan tetap muslim",Hiburan
"Film superhero DC The Flash gagal total di Box Office",Hiburan
"Boyband TREASURE gelar konser solo di Jakarta, tiket ludes 3 jam",Hiburan
"Fashion show desainer Biyan di Paris Fashion Week",Hiburan
"Liverpool kalahkan Manchester City 3-1, kuasai puncak klasemen Liga Inggris",Olahraga
"Kevin Sanjaya/Marcus Gideon bubar, ganda putra Indonesia berpasangan baru",Olahraga
"Real Madrid raih gelar Liga Champions ke-15, kalahkan Dortmund di final",Olahraga
"Timnas Indonesia U-23 lolos ke Olimpiade Paris 2024, mengalahkan Korea Selatan",Olahraga
"Lewis Hamilton pensiun dari Formula 1 akhir musim ini",Olahraga
"PSSI resmikan naturalisasi 3 pemain keturunan Eropa untuk Timnas",Olahraga
"NBA Draft 2024: Victor Wembanyama dari Prancis jadi pilihan pertama",Olahraga
"BWF World Tour: Jonatan Christie juara Indonesia Masters",Olahraga
"Pelatih Manchester United Erik ten Hag dipecat, Zidane jadi kandidat kuat",Olahraga
"Asian Games 2026: Indonesia targetkan 20 medali emas",Olahraga
"Khabib Nurmagomedov menolak tawaran comeback UFC $100 juta",Olahraga
"Timnas Putri Indonesia cetak sejarah di ajang Piala Asia Wanita",Olahraga
"MotoGP Mandalika: Fabio Quartararo raih pole position",Olahraga
"E-sport: Tim ONIC Esports juara M5 World Championship Mobile Legends",Olahraga
"Wimbledon: Petenis Coco Gauff juarai tunggal putri",Olahraga
"Indonesia ajukan diri sebagai tuan rumah Piala Dunia 2034 bersama Australia",Olahraga
"Skandal pengaturan skor di Liga 2 Indonesia terungkap",Olahraga
"Atlet Paralimpik Indonesia raih 5 medali emas di ajang Asian Para Games",Olahraga
"Hasil pertandingan Liga Italia: Inter Milan pesta gol ke gawang AC Milan",Olahraga
"Pelatih Shin Tae-yong dikabarkan diincar timnas Korea Selatan",Olahraga
"Kompetisi basket IBL umumkan format baru musim 2024",Olahraga
"Timnas Indonesia U-17 lolos Piala Dunia U-17 di kandang sendiri",Olahraga
"Pembalap Rio Haryanto comeback di ajang Formula 2",Olahraga
"Kontroversi VAR mewarnai pertandingan Liga Inggris pekan ke-30",Olahraga
"Federasi Angkat Besi Indonesia targetkan emas di Olimpiade 2028",Olahraga
"Perusahaan minyak Aramco umumkan laba kuartalan terbesar di dunia",Ekonomi
"BI luncurkan fitur buy now pay later (BNPL) di QRIS",Ekonomi
"Pemerintah siapkan insentif pajak untuk perusahaan padat karya",Ekonomi
"OJK kaji regulasi bank digital, perketat syarat perizinan",Ekonomi
"Produsen mie instan Indofood catatkan rekor penjualan tertinggi",Ekonomi
"Bank Sentral AS (The Fed) naikkan suku bunga 50 basis poin, pasar bergejolak",Ekonomi
"Kementerian Perdagangan sidak pasar, temukan praktik penimbunan minyak goreng",Ekonomi
"Inflasi di Jawa Timur terendah se-Indonesia, diklaim karena surplus pangan",Ekonomi
"Harga properti subsidi naik 10%, diimbangi fasilitas KPR dari pemerintah",Ekonomi
"Pemerintah targetkan surplus neraca perdagangan $50 miliar tahun ini",Ekonomi
"Startup agritech TaniHub bangkrut, kesulitan bersaing dengan pasar tradisional",Ekonomi
"Dirjen Pajak gencarkan program pengampunan pajak (Tax Amnesty) jilid II",Ekonomi
"Saham PT Astra International melesat setelah rilis penjualan mobil naik 25%",Ekonomi
"Bank BNI terbitkan green bond untuk proyek energi terbarukan",Ekonomi
"Kementerian Koperasi dorong sertifikasi halal untuk UMKM kuliner",Ekonomi
"Pemerintah umumkan Bantuan Langsung Tunai (BLT) untuk nelayan",Ekonomi
"Kemenhub batalkan rencana kenaikan tarif tol Trans Jawa",Ekonomi
"Bank Indonesia resmi kerjasama dengan Bank Sentral China soal Yuan",Ekonomi
"Harga timah global anjlok, dipicu isu penambangan ilegal",Ekonomi
"IMF puji reformasi struktural ekonomi Indonesia",Ekonomi
"Rencana IPO perusahaan telekomunikasi Smartfren ditunda",Ekonomi
"Kenaikan suku bunga Bank Sentral Eropa picu pelemahan Euro",Ekonomi
"Pemerintah alokasikan Rp15 triliun untuk pengembangan sektor pariwisata",Ekonomi
